-0.0109802 0
-0.0114788 0.000498588
-0.0127532 0.0013065
-0.00820331 0.00464275
-0.0060259 0.00420407
-0.00378111 0.00410144
-0.00770841 0.00523825
-0.00876733 0.00465841
-0.00591936 0.00499893
-0.00214409 0.00585184
-0.000453793 0.00555653
-0.0010894 0.00511206
-0.00146907 0.00471771
-0.000854003 0.00441085
-0.00143314 0.00414691
-0.00451625 0.00495509
-0.00408608 0.00467433
-0.00415461 0.00440753
-0.00482316 0.00422237
-0.004491 0.00401944
-0.00426575 0.00382988
-0.004512 0.00365994
-0.00366353 0.00359865
-0.00273608 0.00356809
-0.00278742 0.00342278
-0.0012792 0.00361787
-0.00119435 0.00348233
-0.000863937 0.00337188
-0.000677121 0.00325889
-0.000676434 0.00314839
-0.00011762 0.00309598
0.000156331 0.00301017
-8.17827e-05 0.00292722
7.59328e-05 0.0028442
-0.000857542 0.00291524
-0.000992693 0.00283632
-0.00111915 0.0027615
-0.00124234 0.00269066
-0.00108903 0.00262525
-0.00119514 0.00256097
-0.0016898 0.00254624
-0.00220882 0.0025385
-0.00236109 0.00248344
-0.00232543 0.0024266
-0.00198836 0.00239589
-0.00203063 0.00234361
-0.00219015 0.00229874
-0.00244436 0.00226466
-0.00235108 0.00221992
-0.00289022 0.00224089
-0.00294533 0.0021972
-0.00284182 0.00215702
-0.00252529 0.00213948
-0.00277014 0.00211371
-0.00258877 0.00208284
-0.0025652 0.00204544
-0.00318919 0.0021039
-0.00369758 0.0021289
-0.00380422 0.00209522
-0.00374796 0.00206077
-0.00388963 0.00203165
-0.0043441 0.00204964
-0.00449426 0.00202242
-0.00440688 0.00199249
-0.00445328 0.00196215
-0.00457532 0.00193604
-0.00479496 0.00191953
-0.00427909 0.00196019
-0.00403893 0.00194645
-0.00401508 0.00191859
-0.00401308 0.00189137
-0.00326826 0.00200815
-0.00313088 0.00198521
-0.00325781 0.00196231
-0.00326635 0.00193599
-0.00305287 0.00192223
-0.00306326 0.00189713
-0.00331474 0.00188946
-0.00332106 0.0018654
-0.00363205 0.00186801
-0.00346044 0.00185277
-0.00299574 0.00188811
-0.00294783 0.00186584
-0.00263339 0.00187012
-0.00246229 0.00185589
-0.00238665 0.00183574
-0.00259773 0.00182675
-0.00268786 0.00180812
-0.00262236 0.00178889
-0.00269099 0.00177023
-0.00281879 0.00175533
-0.00257983 0.00175251
-0.00268979 0.00173705
-0.00263063 0.00171949
-0.00247721 0.0017082
-0.00248806 0.00169035
-0.00277308 0.00169694
-0.0024255 0.00171512
-0.00275858 0.00173007
-0.00266252 0.00171538
