Each line represents the mean cost of each generation 
0,461.753
1,445.953
2,432.548
3,416.782
4,401.522
5,387.134
6,369.706
7,354.136
8,337.075
9,319.971
10,301.812
11,284.539
12,266.914
13,251.222
14,233.897
15,216.98
16,200.868
17,185.145
18,169.805
19,155.571
20,142.041
21,128.918
22,118.11
23,108.855
24,101.014
25,93.8201
26,87.7126
27,82.899
28,77.8611
29,73.505
30,69.6698
31,65.9068
32,63.554
33,61.3926
34,58.7052
35,56.3381
36,54.5401
37,53.3356
38,51.6961
39,49.79
40,48.6115
41,47.8391
42,46.7678
43,46.6802
44,45.2551
45,44.9787
46,44.0908
47,44.161
48,43.9163
49,42.9531
50,42.6853
51,42.3538
52,42.4817
53,41.9111
54,41.9315
55,41.2613
56,41.103
57,41.3264
58,41.173
59,41.2829
60,40.4128
61,40.6928
62,40.2555
63,40.3331
64,39.6191
65,39.6855
66,39.5469
67,39.062
68,38.7696
69,38.8805
70,38.6558
71,38.148
72,37.9999
73,37.4053
74,38.345
75,38.1557
76,37.8063
77,37.458
78,37.2287
79,37.2088
80,36.4981
81,36.6355
82,36.6192
83,35.9556
84,35.8044
85,36.1883
86,36.2206
87,35.6135
88,35.189
89,34.8499
90,34.6003
91,34.2856
92,34.1685
93,34.3263
94,34.0492
95,34.051
96,33.8634
97,33.6348
98,33.7283
99,33.0272
100,32.7849
101,32.5978
102,32.3162
103,31.2905
104,31.4913
105,31.4446
106,30.8098
107,30.7876
108,30.4388
109,30.2193
110,29.8854
111,29.5633
112,29.3739
113,29.775
114,29.4434
115,28.9346
116,29.1448
117,28.9509
118,28.9881
119,28.8588
120,28.6112
121,28.8572
122,28.569
123,28.14
124,27.9627
125,28.1136
126,28.2627
127,28.1763
128,27.8362
129,27.673
130,27.6176
131,27.5193
132,27.2249
133,27.1835
134,27.1822
135,26.3958
136,26.9757
137,26.6691
138,26.7119
139,26.8147
140,26.6893
141,26.4916
142,26.2686
143,26.381
144,25.9177
145,25.9174
146,25.7869
147,25.721
148,25.5088
149,25.8514
150,25.2083
151,25.3589
152,25.3237
153,24.9267
154,25.023
155,24.7488
156,24.7559
157,24.4894
158,24.7186
159,24.6967
160,24.7521
161,25.0268
162,24.7751
163,24.7835
164,25.1076
165,25.0169
166,24.9282
167,24.3136
168,24.5396
169,24.0913
170,24.3549
171,24.6971
172,24.0934
173,24.0907
174,24.2176
175,24.479
176,24.3609
177,24.2386
178,24.2708
179,24.3858
180,24.0528
181,23.6172
182,24.5537
183,23.7849
184,24.2928
185,24.142
186,23.797
187,23.6935
188,23.7822
189,23.9497
190,23.6896
191,23.9007
192,23.9274
193,23.8755
194,24.0711
195,23.3781
196,23.7247
197,23.9356
198,23.5779
199,23.8143
200,23.6248
201,23.4895
202,23.5055
203,23.868
204,23.4266
205,23.3945
206,23.4913
207,23.3634
208,23.5527
209,23.3641
210,23.2644
211,23.2707
212,23.1738
213,22.9288
214,22.8569
215,22.9972
216,22.6985
217,22.5934
218,22.6596
219,22.5059
220,22.5923
221,22.3499
222,23.0312
223,23.1685
224,23.3228
225,22.8817
226,23.4244
227,23.1074
228,22.6898
229,23.3136
230,23.0816
231,22.6445
232,22.8015
233,22.6414
234,22.7183
235,22.7309
236,23.0072
237,22.5691
238,22.7091
239,22.6459
240,22.9673
241,22.6732
242,22.724
243,22.6873
244,22.7548
245,22.5521
246,22.4847
247,22.8665
248,22.7017
249,22.746
250,22.6915
251,22.4166
252,22.6295
253,22.8017
254,22.9199
255,22.8189
256,22.6053
257,23.0831
258,22.6824
259,23.3538
260,22.7874
261,22.4601
262,22.617
263,22.5416
264,22.6671
265,22.8377
266,23.1493
267,22.7217
268,22.4988
269,22.854
270,22.7926
271,22.6254
272,22.5931
273,22.8043
274,22.8633
275,22.4503
276,22.4788
277,22.2815
278,22.201
279,22.1356
280,22.135
281,22.3258
282,22.3793
283,22.2267
284,22.2324
285,22.45
286,22.3102
287,22.343
288,22.2972
289,22.2226
290,22.1205
291,22.5694
292,22.3899
293,22.1859
294,22.5246
295,22.3766
296,22.3651
297,22.5736
298,22.2685
299,22.3688
300,22.4577
301,22.3318
302,22.2754
303,22.0649
304,22.3194
305,22.1927
306,21.7438
307,22.2235
308,21.6635
309,21.9265
310,21.6609
311,21.7396
312,22.2897
313,21.7338
314,21.7533
315,22.0429
316,21.7132
317,21.5721
318,21.4508
319,22.0258
320,21.6551
321,21.8754
322,21.3376
323,21.9521
324,21.2864
325,21.1083
326,21.5044
327,21.3363
328,21.536
329,21.1428
330,21.4311
331,21.2094
332,21.6343
333,21.4872
334,21.4475
335,21.5455
336,21.3059
337,21.431
338,21.7055
339,21.0634
340,21.4205
341,21.2966
342,20.9712
343,21.1853
344,20.9172
345,21.3147
