Iteration,BestCostRank0,BestCostRank1,BestCostRank2,BestCostRank3
0,42.1527,44.6191,48.5055,51.2455
1000,34.7359,32.6591,33.9991,32.4527
2000,32.2959,32.6591,31.5727,31.3927
3000,30.4559,32.6591,31.5727,30.8391
4000,30.4559,32.6591,31.5727,30.8391
5000,30.4559,32.6591,31.5727,30.8391
6000,30.4559,32.6591,31.5727,30.8391
7000,30.4559,32.4191,31.5727,29.2527
8000,30.4559,32.4191,29.2423,29.2527
9000,30.4559,32.4191,29.2423,29.2527
10000,30.4559,32.4191,29.2423,25.2896
11000,30.4559,32.4191,29.2423,25.2896
12000,30.4559,32.2191,29.2423,25.2896
13000,30.4559,30.8791,29.2423,25.2896
14000,30.4559,30.8791,29.2423,25.2896
15000,30.4559,30.8791,28.5559,25.2896
16000,30.4559,30.8791,28.5559,25.2896
17000,29.0327,30.8791,28.5559,25.2896
18000,29.0327,28.8959,28.5559,25.2896
19000,29.0327,28.6232,28.5559,25.2896
20000,29.0327,26.7296,28.5559,25.2896
21000,29.0327,26.7296,28.5559,25.2896
22000,29.0327,26.7296,28.5559,25.2896
23000,29.0327,26.7296,28.5559,25.2896
24000,28.4759,26.7296,28.5559,25.2896
25000,28.4759,26.7296,28.5559,25.2896
26000,28.4759,26.7296,28.5559,25.2896
27000,28.0191,26.7296,27.8159,25.2896
28000,28.0191,26.7296,27.8159,25.2896
29000,26.9623,26.7296,27.8159,25.2896
30000,24.2359,26.7296,27.8159,25.2896
31000,23.4696,26.4096,25.6559,25.2896
32000,23.4696,24.6559,25.6559,25.2896
33000,23.4696,24.6559,25.6559,25.2896
34000,23.2664,24.6559,23.8359,24.3791
35000,18.1864,23.3464,23.1855,19.9991
36000,18.1864,20.0864,23.1855,19.9991
37000,18.1864,20.0864,21.4927,19.9991
38000,18.1864,20.0864,20.0727,19.9991
39000,18.1864,20.0864,19.6232,19.9991
40000,17.8527,16.8464,19.1527,19.9991
41000,17.2591,16.8464,18.7696,16.4896
42000,17.2591,16.0896,17.8191,16.4896
43000,16.7159,14.6496,17.7927,15.5296
44000,16.7159,14.6496,17.7927,14.7496
45000,16.1096,14.6496,13.0296,14.1864
46000,15.4527,10.4632,11.2296,13.8896
47000,12.8096,10.4632,11.2296,12.0232
48000,12.8096,10.4632,10.4296,12.0232
49000,12.8096,10.4632,10.4296,12.0232
50000,12.8096,10.4632,10.4296,12.0232
51000,10.3296,9.30956,9.72319,12.0232
52000,8.18319,9.30956,9.72319,9.08956
53000,7.88319,8.20319,8.28319,8.66956
54000,7.22319,8.20319,6.70319,7.74319
55000,7.22319,8.20319,6.70319,7.74319
56000,7.22319,7.36319,6.70319,7.42319
57000,6.62319,7.36319,6.56319,7.40319
58000,6.62319,6.70319,6.56319,7.16319
59000,6.62319,6.58319,6.56319,7.16319
60000,6.62319,6.28319,6.56319,6.88319
