Optimal Cost for the current setting: 
74.5584
Generation | Best Tour | Cost 
0 , 19226, 125.683
1 , 224, 132.94
2 , 6453, 132.94
3 , 18161, 132.94
4 , 15468, 115.476
5 , 9873, 115.476
6 , 5131, 115.476
7 , 8538, 99.2818
8 , 128, 98.6651
9 , 12294, 91.188
10 , 14144, 80.4572
11 , 19658, 79.2099
12 , 14014, 78.6032
13 , 844, 64.2062
14 , 12046, 58.8408
15 , 16264, 58.726
16 , 15748, 57.5709
17 , 11064, 49.0776
18 , 17238, 47.1642
19 , 2098, 42.9806
20 , 2882, 44.5066
21 , 2892, 42.2371
22 , 5102, 36.973
23 , 14676, 33.0957
24 , 5329, 33.0957
25 , 13181, 33.0957
26 , 244, 31.2307
27 , 8602, 31.2307
28 , 10892, 31.2307
29 , 12598, 30.7672
30 , 6140, 28.9151
31 , 11288, 27.4022
32 , 9887, 27.4022
33 , 9079, 27.4022
34 , 2282, 28.4131
35 , 3683, 28.4131
36 , 5932, 27.3786
37 , 17880, 27.4022
38 , 10007, 27.4022
39 , 8361, 27.4022
40 , 2664, 27.3991
41 , 18350, 27.4022
42 , 11156, 27.3786
43 , 18608, 26.7072
44 , 9379, 26.7072
45 , 16291, 26.7072
46 , 8749, 26.7072
47 , 11427, 26.7072
48 , 15221, 26.7072
49 , 16795, 26.0272
50 , 9097, 26.0272
51 , 1286, 26.0036
52 , 10517, 25.5814
53 , 13537, 25.5814
54 , 10722, 25.8419
55 , 14062, 25.5085
56 , 16152, 24.5469
57 , 3512, 24.5705
58 , 10849, 24.5705
59 , 17280, 24.5469
60 , 2176, 24.5469
61 , 3416, 24.5469
62 , 8515, 23.8511
63 , 4361, 23.9055
64 , 11801, 23.8511
65 , 17230, 23.9055
66 , 8960, 23.9055
67 , 9137, 23.3097
68 , 1430, 23.3097
69 , 12291, 23.3097
70 , 14112, 23.2861
71 , 12673, 23.3097
72 , 10687, 23.3097
73 , 7351, 21.0738
74 , 12747, 21.0738
75 , 656, 21.0738
76 , 3230, 21.0738
77 , 2883, 20.7535
78 , 16332, 20.7535
79 , 15086, 20.7535
80 , 678, 20.7535
81 , 5108, 20.7535
82 , 11976, 20.7535
83 , 19782, 20.7535
84 , 13068, 19.3775
85 , 17842, 19.3775
86 , 1397, 20.7535
87 , 7740, 20.7535
88 , 3021, 20.7535
89 , 2326, 20.7535
90 , 5097, 20.7535
91 , 19383, 20.7535
92 , 9692, 19.813
93 , 3503, 19.5239
94 , 8683, 19.7777
95 , 10224, 18.7154
96 , 6741, 18.7154
97 , 1728, 18.661
98 , 5109, 18.661
99 , 9831, 18.661
100 , 5806, 18.7154
101 , 18779, 18.7154
102 , 1025, 18.7154
103 , 6816, 18.661
104 , 11961, 18.7154
105 , 19299, 18.7154
106 , 15221, 18.3189
107 , 4614, 18.3189
108 , 3271, 18.3189
109 , 7205, 18.3189
110 , 13512, 18.2645
111 , 2517, 18.2645
112 , 17600, 18.2404
113 , 2463, 18.2404
114 , 4130, 18.2404
115 , 2558, 18.2404
116 , 5233, 18.1419
117 , 11787, 18.1419
118 , 17478, 17.8271
119 , 6812, 17.8271
120 , 15804, 17.8271
121 , 6154, 18.0875
