Optimal cost=,6.28319
Generation,BestCost,MeanCost
266,7.96319,9.68812
267,7.98319,9.68202
268,7.98319,9.65541
269,7.98319,9.63617
270,7.98319,9.61004
271,8.00319,9.59945
272,8.00319,9.58693
273,8.00319,9.57752
274,8.00319,9.58496
275,7.96319,9.56797
276,8.00319,9.55276
277,8.00319,9.54708
278,7.90319,9.54758
279,7.70319,9.52239
280,7.90319,9.50998
281,7.98319,9.51073
282,7.70319,9.49267
283,7.74319,9.4725
284,7.70319,9.46721
285,7.70319,9.46114
286,7.70319,9.45272
287,7.56319,9.42316
288,7.56319,9.41907
289,7.70319,9.42283
290,7.70319,9.39932
291,7.70319,9.40365
292,7.70319,9.38999
293,7.58319,9.39251
294,7.58319,9.37562
295,7.58319,9.35252
296,7.58319,9.33046
297,7.58319,9.30883
298,7.56319,9.30005
299,7.56319,9.31904
300,7.46319,9.31522
301,7.58319,9.31257
302,7.70319,9.31315
303,7.58319,9.31805
304,7.58319,9.28136
305,7.56319,9.27076
306,7.56319,9.25649
307,7.42319,9.2382
308,7.42319,9.2361
309,7.28319,9.22714
310,7.28319,9.21727
311,7.28319,9.2161
312,7.42319,9.21236
313,7.42319,9.19714
314,7.42319,9.1927
315,7.42319,9.18443
316,7.52319,9.16233
317,7.42319,9.12701
318,7.42319,9.10595
319,7.42319,9.10777
320,7.42319,9.09527
321,7.42319,9.10386
322,7.42319,9.11546
323,7.42319,9.09725
324,7.42319,9.09134
325,7.28319,9.04119
326,7.28319,9.02157
327,7.28319,9.00625
328,7.28319,9.00571
329,7.28319,9.01018
330,7.28319,8.99471
331,7.28319,8.99229
332,7.28319,8.977
333,7.28319,8.96044
334,7.28319,8.93211
335,7.28319,8.92261
336,7.28319,8.91586
337,7.28319,8.89959
338,7.28319,8.87032
339,7.28319,8.85434
340,7.14319,8.8309
341,7.22319,8.82782
342,7.28319,8.81595
343,7.28319,8.81837
344,7.22319,8.80302
345,7.22319,8.79644
346,7.22319,8.77309
347,7.28319,8.75965
348,7.22319,8.75388
349,7.00319,8.75007
350,7.14319,8.72727
351,7.22319,8.70332
352,7.22319,8.68426
353,7.00319,8.65972
354,7.18319,8.63951
355,7.18319,8.60991
356,7.18319,8.61353
357,7.14319,8.60876
358,7.16319,8.59022
359,7.16319,8.57672
360,7.00319,8.57042
361,7.00319,8.55799
362,7.00319,8.54964
363,7.00319,8.5514
364,7.00319,8.53368
365,7.00319,8.5377
366,7.00319,8.51028
367,7.00319,8.49068
368,7.16319,8.48276
369,7.08319,8.46725
370,7.16319,8.44809
371,7.14319,8.42714
372,7.00319,8.38803
373,6.98319,8.38356
374,7.00319,8.36822
375,7.00319,8.36164
376,7.00319,8.35549
377,7.00319,8.35401
378,7.00319,8.34461
379,7.00319,8.3474
380,7.00319,8.33678
381,7.00319,8.32195
382,7.00319,8.3022
383,7.00319,8.31001
384,7.00319,8.32044
385,7.00319,8.30388
386,7.00319,8.29101
387,7.00319,8.27686
388,7.00319,8.26218
389,7.00319,8.26163
390,6.98319,8.22258
391,6.90319,8.24137
392,6.90319,8.24902
393,7.00319,8.23836
394,7.00319,8.22498
395,7.00319,8.23345
396,7.00319,8.21548
397,7.00319,8.21698
398,6.90319,8.19886
399,6.90319,8.17693
400,6.90319,8.17475
401,6.90319,8.16685
402,6.90319,8.17021
403,6.90319,8.14827
404,7.00319,8.13772
405,6.90319,8.10803
406,6.90319,8.10332
407,6.90319,8.11312
408,7.00319,8.11371
409,7.00319,8.12474
410,7.00319,8.11108
411,7.00319,8.11338
412,7.00319,8.09861
413,7.00319,8.08569
414,6.72319,8.0734
415,6.72319,8.06125
416,7.00319,8.05201
417,6.76319,8.02503
418,6.76319,8.0504
419,6.76319,8.05261
420,6.76319,8.04954
421,6.76319,8.04523
422,6.76319,8.0352
423,6.76319,8.01053
424,6.76319,8.0077
425,6.76319,8.02004
426,6.76319,8.01889
427,6.76319,8.01722
428,6.76319,8.01901
429,6.76319,8.01384
430,6.76319,7.99761
431,6.76319,7.9762
432,6.76319,7.99054
433,6.76319,7.98282
434,6.76319,7.9934
435,6.72319,7.99145
436,6.72319,7.9784
437,6.72319,7.97673
438,6.76319,7.95516
439,6.76319,7.94484
440,6.76319,7.95983
441,6.76319,7.97508
442,6.76319,7.95971
443,6.76319,7.94202
444,6.76319,7.94417
445,6.76319,7.95428
446,6.76319,7.9472
447,6.76319,7.96067
448,6.76319,7.95932
449,6.76319,7.93553
450,6.76319,7.93586
451,6.76319,7.92521
452,6.76319,7.91082
453,6.76319,7.90656
454,6.76319,7.90857
455,6.76319,7.91558
456,6.76319,7.9034
457,6.76319,7.91516
458,6.76319,7.90449
459,6.76319,7.91081
460,6.76319,7.90045
461,6.76319,7.89878
462,6.76319,7.90491
463,6.76319,7.90922
464,6.76319,7.88011
465,6.76319,7.84836
466,6.76319,7.82513
467,6.48319,7.84231
468,6.48319,7.84629
469,6.48319,7.86109
470,6.48319,7.83612
471,6.48319,7.83687
472,6.48319,7.82905
473,6.48319,7.81548
474,6.48319,7.79733
475,6.48319,7.80518
476,6.48319,7.81872
477,6.48319,7.802
478,6.48319,7.8001
479,6.48319,7.77826
480,6.48319,7.78441
481,6.48319,7.76887
482,6.48319,7.75667
483,6.48319,7.7449
484,6.48319,7.73467
485,6.48319,7.72276
486,6.48319,7.70756
487,6.48319,7.70799
488,6.48319,7.69581
489,6.48319,7.69364
490,6.48319,7.67839
491,6.48319,7.66836
492,6.48319,7.68037
493,6.48319,7.67567
494,6.48319,7.68139
495,6.48319,7.67469
496,6.48319,7.67824
497,6.48319,7.65642
498,6.48319,7.6585
499,6.48319,7.63776
500,6.48319,7.63148
501,6.48319,7.6266
502,6.48319,7.60303
503,6.48319,7.58333
504,6.48319,7.58834
505,6.48319,7.5744
506,6.48319,7.55345
507,6.48319,7.54094
508,6.42319,7.54068
509,6.42319,7.53967
510,6.28319,7.53183
511,6.28319,7.51611
512,6.28319,7.51393
513,6.28319,7.51701
514,6.28319,7.5129
515,6.28319,7.5156
516,6.48319,7.50043
517,6.48319,7.49249
518,6.48319,7.49463
519,6.28319,7.49133
520,6.28319,7.49089
521,6.28319,7.46212
522,6.28319,7.46054
523,6.28319,7.4452
524,6.28319,7.42
525,6.28319,7.36496
526,6.28319,7.35095
527,6.28319,7.33459
528,6.28319,7.33376
529,6.28319,7.31904
530,6.28319,7.30992
531,6.28319,7.31564
532,6.28319,7.3339
533,6.28319,7.34556
534,6.28319,7.33151
535,6.28319,7.31651
536,6.28319,7.30919
537,6.28319,7.32385
538,6.28319,7.31252
539,6.28319,7.32299
540,6.28319,7.31539
541,6.28319,7.3141
542,6.28319,7.29483
543,6.28319,7.31055
544,6.28319,7.29948
545,6.28319,7.30453
546,6.28319,7.30389
547,6.28319,7.30077
548,6.28319,7.28599
549,6.28319,7.27097
550,6.28319,7.265
551,6.28319,7.26467
552,6.28319,7.2627
553,6.28319,7.25592
554,6.28319,7.24618
555,6.28319,7.24362
556,6.28319,7.24333
557,6.28319,7.24992
558,6.28319,7.24458
559,6.28319,7.24249
560,6.28319,7.23454
561,6.28319,7.22129
562,6.28319,7.22734
563,6.28319,7.23005
564,6.28319,7.23341
565,6.28319,7.21875
566,6.28319,7.21279
567,6.28319,7.20288
568,6.28319,7.19141
569,6.28319,7.18611
570,6.28319,7.18836
571,6.28319,7.17813
572,6.28319,7.16507
573,6.28319,7.1626
574,6.28319,7.16559
575,6.28319,7.14811
576,6.28319,7.14154
577,6.28319,7.13714
578,6.28319,7.13429
579,6.28319,7.13509
580,6.28319,7.14947
581,6.28319,7.15092
582,6.28319,7.13383
583,6.28319,7.15027
584,6.28319,7.1496
585,6.28319,7.14034
586,6.28319,7.15573
587,6.28319,7.14476
588,6.28319,7.15292
589,6.28319,7.15057
590,6.28319,7.12099
591,6.28319,7.11485
592,6.28319,7.10348
593,6.28319,7.11184
594,6.28319,7.1165
595,6.28319,7.11162
596,6.28319,7.10902
597,6.28319,7.11332
598,6.28319,7.10627
599,6.28319,7.09682
600,6.28319,7.08719
601,6.28319,7.09192
602,6.28319,7.08857
603,6.28319,7.09246
604,6.28319,7.08326
605,6.28319,7.08574
606,6.28319,7.08798
607,6.28319,7.07259
608,6.28319,7.0688
609,6.28319,7.06558
610,6.28319,7.0656
611,6.28319,7.07242
612,6.28319,7.07465
613,6.28319,7.06421
614,6.28319,7.05375
615,6.28319,7.04665
616,6.28319,7.04871
617,6.28319,7.03045
618,6.28319,7.05377
619,6.28319,7.04608
620,6.28319,7.04137
621,6.28319,7.02962
622,6.28319,7.03925
623,6.28319,7.02296
624,6.28319,7.00515
625,6.28319,6.98905
626,6.28319,6.98843
627,6.28319,6.98178
628,6.28319,7.00317
629,6.28319,6.99989
630,6.28319,7.00336
631,6.28319,6.99592
632,6.28319,7.01879
633,6.28319,7.00083
634,6.28319,6.98571
635,6.28319,6.98177
636,6.28319,6.97084
637,6.28319,6.96482
638,6.28319,6.96576
639,6.28319,6.95366
640,6.28319,6.96208
641,6.28319,6.98125
642,6.28319,6.97263
643,6.28319,6.97976
644,6.28319,6.97031
645,6.28319,6.96186
646,6.28319,6.96291
647,6.28319,6.95627
648,6.28319,6.96595
649,6.28319,6.96466
650,6.28319,6.96456
651,6.28319,6.96697
652,6.28319,6.97794
653,6.28319,6.95861
654,6.28319,6.95479
655,6.28319,6.9373
656,6.28319,6.93905
657,6.28319,6.95318
658,6.28319,6.94874
659,6.28319,6.96
660,6.28319,6.95706
661,6.28319,6.96029
662,6.28319,6.96246
663,6.28319,6.95192
664,6.28319,6.95873
665,6.28319,6.95025
666,6.28319,6.93317
667,6.28319,6.91118
668,6.28319,6.89932
669,6.28319,6.9008
670,6.28319,6.91563
671,6.28319,6.90315
672,6.28319,6.90015
673,6.28319,6.89553
674,6.28319,6.89681
675,6.28319,6.89942
676,6.28319,6.89617
677,6.28319,6.8913
678,6.28319,6.8997
679,6.28319,6.88531
680,6.28319,6.89827
681,6.28319,6.90024
682,6.28319,6.89113
683,6.28319,6.87537
684,6.28319,6.88543
685,6.28319,6.88066
686,6.28319,6.8852
687,6.28319,6.87257
688,6.28319,6.88439
689,6.28319,6.88196
690,6.28319,6.86521
691,6.28319,6.87542
692,6.28319,6.85759
693,6.28319,6.87217
694,6.28319,6.8662
695,6.28319,6.86576
696,6.28319,6.87639
697,6.28319,6.87881
698,6.28319,6.88094
699,6.28319,6.87962
700,6.28319,6.87778
701,6.28319,6.87346
702,6.28319,6.87452
703,6.28319,6.86544
704,6.28319,6.84938
705,6.28319,6.85747
706,6.28319,6.84452
707,6.28319,6.85037
708,6.28319,6.84687
709,6.28319,6.83511
710,6.28319,6.83345
711,6.28319,6.82827
712,6.28319,6.83437
713,6.28319,6.81907
714,6.28319,6.80645
715,6.28319,6.83263
716,6.28319,6.84157
717,6.28319,6.84555
718,6.28319,6.82825
719,6.28319,6.84116
720,6.28319,6.8315
721,6.28319,6.84935
722,6.28319,6.82776
723,6.28319,6.81791
724,6.28319,6.81497
725,6.28319,6.81278
726,6.28319,6.81409
727,6.28319,6.80633
728,6.28319,6.79593
729,6.28319,6.8164
730,6.28319,6.8244
731,6.28319,6.80873
732,6.28319,6.81295
733,6.28319,6.81494
734,6.28319,6.81987
735,6.28319,6.82534
736,6.28319,6.82844
737,6.28319,6.8324
738,6.28319,6.83934
739,6.28319,6.83692
740,6.28319,6.83932
741,6.28319,6.83588
742,6.28319,6.81982
743,6.28319,6.82087
744,6.28319,6.81997
745,6.28319,6.81948
746,6.28319,6.8339
747,6.28319,6.84021
748,6.28319,6.80978
749,6.28319,6.80917
750,6.28319,6.81375
751,6.28319,6.80879
752,6.28319,6.81225
753,6.28319,6.82011
754,6.28319,6.82898
755,6.28319,6.83639
756,6.28319,6.81218
757,6.28319,6.80981
758,6.28319,6.82476
759,6.28319,6.82638
760,6.28319,6.82921
761,6.28319,6.82648
762,6.28319,6.83331
763,6.28319,6.83711
764,6.28319,6.84317
765,6.28319,6.83122
766,6.28319,6.82726
767,6.28319,6.82988
768,6.28319,6.82699
769,6.28319,6.82108
770,6.28319,6.81344
771,6.28319,6.80696
772,6.28319,6.81223
773,6.28319,6.81025
774,6.28319,6.8199
775,6.28319,6.83332
776,6.28319,6.8247
777,6.28319,6.821
778,6.28319,6.82884
779,6.28319,6.82641
780,6.28319,6.82851
781,6.28319,6.81252
782,6.28319,6.81519
783,6.28319,6.79252
784,6.28319,6.79607
785,6.28319,6.81234
786,6.28319,6.80171
787,6.28319,6.80072
788,6.28319,6.81261
789,6.28319,6.79744
790,6.28319,6.80097
791,6.28319,6.82184
792,6.28319,6.81867
793,6.28319,6.79044
794,6.28319,6.77817
795,6.28319,6.78228
796,6.28319,6.7796
797,6.28319,6.76551
798,6.28319,6.79306
799,6.28319,6.79868
800,6.28319,6.78097
801,6.28319,6.77679
802,6.28319,6.75588
803,6.28319,6.76745
804,6.28319,6.79071
805,6.28319,6.81237
806,6.28319,6.82202
807,6.28319,6.78761
808,6.28319,6.78961
809,6.28319,6.77602
810,6.28319,6.76993
811,6.28319,6.77488
812,6.28319,6.77141
813,6.28319,6.79186
814,6.28319,6.80329
815,6.28319,6.81364
816,6.28319,6.79358
817,6.28319,6.79622
818,6.28319,6.80927
819,6.28319,6.82684
820,6.28319,6.83182
821,6.28319,6.82162
822,6.28319,6.8137
