Initial cost=,14.586
Generation,BestCost,MeanCost
266,4.85984,5.69769
267,4.79015,5.69992
268,4.85984,5.68869
269,4.8306,5.68201
270,4.77163,5.67641
271,4.86336,5.67195
272,4.86336,5.66792
273,4.86336,5.66674
274,4.85438,5.67436
275,4.85438,5.67207
276,4.86336,5.67179
277,4.86336,5.67044
278,4.86336,5.674
279,4.79324,5.66805
280,4.85221,5.66622
281,4.8673,5.66813
282,4.8673,5.66321
283,4.8673,5.65569
284,4.8673,5.6545
285,4.8673,5.65065
286,4.86268,5.65132
287,4.86268,5.64001
288,4.8673,5.63666
289,4.86268,5.64061
290,4.86415,5.63469
291,4.83393,5.63541
292,4.86268,5.63303
293,4.8673,5.63418
294,4.8673,5.62812
295,4.85379,5.62122
296,4.85379,5.6133
297,4.71948,5.60464
298,4.84488,5.59674
299,4.84998,5.60335
300,4.81099,5.6018
301,4.75202,5.60245
302,4.79324,5.60224
303,4.75202,5.60706
304,4.75202,5.59752
305,4.75202,5.59373
306,4.75202,5.58905
307,4.75202,5.58204
308,4.75202,5.58467
309,4.75202,5.58427
310,4.75202,5.5779
311,4.75202,5.57278
312,4.75202,5.5723
313,4.75202,5.56303
314,4.75202,5.55746
315,4.81099,5.55608
316,4.75202,5.54939
317,4.75202,5.53854
318,4.75202,5.53262
319,4.78839,5.53254
320,4.56207,5.52591
321,4.56207,5.52662
322,4.56207,5.53125
323,4.56207,5.52839
324,4.56207,5.52593
325,4.56207,5.51085
326,4.56207,5.50395
327,4.56207,5.49873
328,4.56207,5.49524
329,4.56207,5.49848
330,4.56207,5.49064
331,4.56207,5.49158
332,4.56207,5.4877
333,4.56207,5.48398
334,4.56207,5.47985
335,4.56207,5.47919
336,4.56207,5.47199
337,4.56207,5.46666
338,4.56207,5.45588
339,4.56207,5.44575
340,4.56207,5.43379
341,4.50495,5.42924
342,4.55526,5.42099
343,4.50495,5.42599
344,4.50495,5.42076
345,4.50495,5.42103
346,4.50495,5.41438
347,4.50495,5.41278
348,4.50495,5.41116
349,4.50495,5.40681
350,4.47338,5.3972
351,4.50495,5.39104
352,4.50495,5.38642
353,4.47338,5.38239
354,4.50495,5.37886
355,4.50495,5.36888
356,4.46336,5.36931
357,4.50495,5.36859
358,4.50443,5.36165
359,4.50495,5.35779
360,4.50443,5.35384
361,4.41305,5.34865
362,4.41305,5.3472
363,4.41305,5.34731
364,4.41305,5.345
365,4.46336,5.34731
366,4.41305,5.33314
367,4.41305,5.32433
368,4.4865,5.31557
369,4.43235,5.30582
370,4.41305,5.29855
371,4.41305,5.28762
372,4.41305,5.26754
373,4.43235,5.25858
374,4.41305,5.24592
375,4.41305,5.23513
376,4.41305,5.22834
377,4.41305,5.22434
378,4.41116,5.21252
379,4.41116,5.20971
380,4.41305,5.19916
381,4.41305,5.18964
382,4.41305,5.17689
383,4.41305,5.16953
384,4.41305,5.16385
385,4.41305,5.1513
386,4.41305,5.14226
387,4.41305,5.13256
388,4.41305,5.11948
389,4.41305,5.11197
390,4.39941,5.08901
391,4.34045,5.0886
392,4.39941,5.08339
393,4.41305,5.0777
394,4.41305,5.06889
395,4.41305,5.06233
396,4.41305,5.0514
397,4.41305,5.05174
398,4.41305,5.04301
399,4.41305,5.02981
400,4.41305,5.0242
401,4.41305,5.01789
402,4.41305,5.01505
403,4.41305,5.00378
404,4.41305,4.99935
405,4.41305,4.98869
406,4.41305,4.98118
407,4.35541,4.98211
408,4.39602,4.98031
409,4.41305,4.98254
410,4.41305,4.97795
411,4.41305,4.98168
412,4.37165,4.97532
413,4.41116,4.96653
414,4.39763,4.96046
415,4.39763,4.95389
416,4.41116,4.94811
417,4.41116,4.93672
418,4.41116,4.94356
419,4.39783,4.94731
420,4.39783,4.94704
421,4.39783,4.94451
422,4.39783,4.94094
423,4.39783,4.93343
424,4.39783,4.93152
425,4.39783,4.93552
426,4.39783,4.93473
427,4.39271,4.93318
428,4.39271,4.93249
429,4.39783,4.93039
