-8.53702   1.19623  2.19585
-8.35697   2.08501  3.17351
-8.21447   2.82167  3.98384
-8.14595   3.14167  4.33583
-8.11683   3.27925  4.48718
-8.11293   3.2805  4.48855
-7.97474   3.98532  5.26385
-7.92133   4.2578  5.56358
-7.85479   4.60439  5.94483
-7.84589   4.65705  6.00276
-7.89202   4.41979  5.74177
-7.92474   4.25088  5.55597
-7.87966   4.45192  5.77712
-7.81036   4.80451  6.16496
-7.72009   5.2609  6.66699
-7.72575   5.20774  6.60852
-7.78396   4.91381  6.28519
-7.73669   5.13727  6.53099
-7.67842   5.45081  6.87589
-7.6275   5.72514  7.17766
-7.62105   5.76858  7.22544
-7.683   5.42424  6.84666
-7.73418   5.19337  6.59271
-7.72367   5.28959  6.69855
-7.70416   5.39816  6.81798
-7.60969   5.84074  7.30481
-7.5901   5.93066  7.40373
-7.64106   5.65684  7.10252
-7.72557   5.26032  6.66635
-7.71429   5.27  6.677
-7.66018   5.55066  6.98573
-7.67809   5.46983  6.89682
-7.74079   5.12836  6.5212
-7.68081   5.42637  6.849
-7.60153   5.79131  7.25044
-7.5715   5.97102  7.44812
-7.57914   5.93264  7.40591
-7.62766   5.68027  7.12829
-7.5881   5.8746  7.34206
-7.52385   6.2147  7.71617
-7.58488   5.90648  7.37713
-7.58363   5.90045  7.3705
-7.41071   6.75567  8.31124
-7.46162   6.46882  7.9957
-7.49988   6.29424  7.80367
-7.55055   6.07181  7.55899
-7.50825   6.26634  7.77297
-7.59657   5.814  7.2754
-7.63746   5.61935  7.06128
-7.6312   5.65932  7.10525
-7.69433   5.35304  6.76835
-7.71574   5.27314  6.68046
-7.69571   5.37392  6.79131
-7.65664   5.5807  7.01877
-7.71403   5.25024  6.65526
-7.59683   5.84883  7.31371
-7.57573   5.93703  7.41074
-7.57597   5.95556  7.43112
-7.62161   5.72148  7.17363
-7.59035   5.89531  7.36484
-7.68223   5.43615  6.85977
-7.60584   5.77487  7.23235
-7.65448   5.5554  6.99094
-7.54388   6.10532  7.59585
-7.60199   5.8318  7.29498
-7.57091   6.00184  7.48202
-7.59872   5.85159  7.31675
-7.57622   5.96051  7.43656
-7.54983   6.10097  7.59107
-7.5671   5.94998  7.42498
-7.58469   5.88355  7.3519
-7.59268   5.86691  7.33361
-7.59214   5.88229  7.35052
-7.5091   6.2855  7.79405
-7.62692   5.69501  7.14452
-7.61697   5.76959  7.22654
-7.61545   5.77975  7.23772
-7.67141   5.49336  6.9227
-7.6547   5.53355  6.96691
-7.63364   5.6478  7.09258
-7.59891   5.81338  7.27471
-7.62415   5.69206  7.14127
-7.587   5.88131  7.34944
-7.48009   6.42088  7.94297
-7.43691   6.64382  8.18821
-7.567   5.99017  7.46918
-7.60245   5.80626  7.26688
-7.629   5.67833  7.12616
-7.57258   5.94116  7.41528
-7.57441   5.92444  7.39689
-7.62146   5.70087  7.15096
-7.6781   5.44838  6.87322
-7.71595   5.27238  6.67962
-7.72897   5.21973  6.62171
-7.74398   5.13767  6.53144
-7.72865   5.20901  6.60991
-7.69856   5.35234  6.76757
-7.68447   5.39857  6.81843
-7.68369   5.4086  6.82946
-7.63641   5.64561  7.09017
-7.6074   5.81194  7.27314
-7.64285   5.62821  7.07103
-7.66548   5.51617  6.94779
-7.60374   5.81897  7.28087
-7.48497   6.41158  7.93274
-7.55677   6.05837  7.5442
-7.57185   6.00917  7.49008
-7.64514   5.64518  7.0897
-7.58615   5.91621  7.38783
-7.56427   6.009  7.4899
-7.65774   5.53467  6.96814
-7.63613   5.63226  7.07548
-7.60113   5.79687  7.25656
-7.65284   5.51637  6.948
-7.57347   5.90513  7.37564
-7.59934   5.78276  7.24104
-7.60294   5.77368  7.23105
-7.56279   5.9922  7.47142
-7.52245   6.20659  7.70725
-7.55927   6.04423  7.52866
-7.50241   6.32436  7.83679
-7.56838   5.97475  7.45223
-7.52721   6.14522  7.63974
-7.62051   5.69003  7.13903
-7.61259   5.72918  7.18209
-7.59663   5.81025  7.27127
-7.59559   5.83709  7.3008
-7.58624   5.88531  7.35384
-7.56418   5.98886  7.46775
-7.4908   6.38745  7.90619
-7.61155   5.80165  7.26181
-7.6546   5.56923  7.00615
-7.62965   5.67942  7.12736
-7.57771   5.94744  7.42218
-7.52535   6.20378  7.70416
-7.53262   6.17326  7.67058
-7.48729   6.37887  7.89676
-7.6202   5.72875  7.18163
-7.61927   5.72357  7.17592
-7.53834   6.14587  7.64045
-7.49188   6.35181  7.86699
-7.56708   5.97905  7.45695
-7.48742   6.39048  7.90953
-7.55475   6.0286  7.51146
-7.53582   6.1218  7.61398
-7.5196   6.23857  7.74243
-7.43539   6.64465  8.18911
-7.46852   6.47587  8.00346
-7.49016   6.36968  7.88665
-7.44283   6.60868  8.14955
-7.45989   6.50563  8.0362
-7.42739   6.67511  8.22263
-7.44233   6.63221  8.17543
-7.46572   6.51777  8.04955
-7.44545   6.62712  8.16983
-7.49106   6.37997  7.89797
-7.42989   6.68357  8.23193
-7.49095   6.37169  7.88886
-7.57649   5.93469  7.40816
-7.63255   5.6441  7.08851
-7.65906   5.51652  6.94817
-7.66851   5.46854  6.8954
-7.67784   5.43488  6.85837
-7.56069   6.03672  7.5204
-7.54649   6.11206  7.60326
-7.55678   6.01378  7.49516
-7.50799   6.29847  7.80832
-7.53198   6.15644  7.65208
-7.52551   6.19753  7.69728
-7.53908   6.11792  7.60972
-7.5692   5.96183  7.43802
-7.54107   6.10453  7.59498
-7.63418   5.6526  7.09786
-7.59542   5.87247  7.33972
-7.57895   5.94396  7.41836
-7.59354   5.91286  7.38415
-7.61314   5.79126  7.25039
-7.5782   5.99297  7.47226
-7.58966   5.90689  7.37758
-7.51215   6.2997  7.80967
-7.53301   6.22169  7.72385
-7.50393   6.3839  7.90229
-7.51965   6.30854  7.8194
-7.50054   6.40344  7.92378
-7.59463   5.89809  7.3679
-7.6391   5.67876  7.12663
-7.69285   5.41461  6.83607
-7.62247   5.74239  7.19662
-7.58809   5.93372  7.40709
-7.62155   5.73576  7.18933
-7.6204   5.76231  7.21854
-7.64593   5.66161  7.10777
-7.70013   5.39617  6.81579
-7.63399   5.73232  7.18555
-7.6665   5.53331  6.96664
-7.65959   5.56086  6.99694
-7.64947   5.61002  7.05102
-7.64796   5.61329  7.05462
-7.63041   5.70975  7.16072
-7.61955   5.75785  7.21363
-7.67159   5.48362  6.91199
-7.66702   5.53552  6.96907
-7.62622   5.73992  7.19391
-7.61698   5.79206  7.25127
-7.62043   5.73658  7.19024
-7.64675   5.61483  7.05631
-7.62428   5.70868  7.15954
-7.61616   5.76075  7.21682
-7.56581   6.01196  7.49316
-7.63819   5.62103  7.06313
-7.6415   5.5883  7.02712
-7.62166   5.68703  7.13573
-7.55143   6.0643  7.55073
-7.56295   5.99802  7.47783
-7.62729   5.70877  7.15965
-7.58744   5.90511  7.37562
-7.49164   6.38277  7.90105
-7.58705   5.90028  7.37031
-7.53604   6.16855  7.66541
-7.58977   5.86596  7.33256
-7.57134   5.95421  7.42963
-7.5977   5.81609  7.2777
-7.65115   5.53738  6.97111
-7.58441   5.86679  7.33347
-7.57299   5.94477  7.41925
