1 -0.455416 -0.455416 0
2 -0.440378 -0.447897 0.00751919
3 -0.434575 -0.443456 0.00621014
4 -0.449026 -0.444849 0.00460671
5 -0.435856 -0.44305 0.00399603
6 -0.445945 -0.443533 0.00329822
7 -0.428786 -0.441426 0.00349403
8 -0.431656 -0.440205 0.00326305
9 -0.445182 -0.440758 0.00293039
10 -0.467503 -0.443432 0.00374469
11 -0.456377 -0.444609 0.00358581
12 -0.445802 -0.444709 0.00327489
13 -0.450179 -0.445129 0.0030417
14 -0.434773 -0.44439 0.00291161
15 -0.443038 -0.4443 0.00271206
16 -0.435497 -0.443749 0.00259587
17 -0.446154 -0.443891 0.0024425
18 -0.423915 -0.442781 0.00255627
19 -0.441468 -0.442712 0.00241897
20 -0.440824 -0.442618 0.00229678
21 -0.438377 -0.442416 0.00219399
22 -0.455522 -0.443011 0.00217507
23 -0.433811 -0.442611 0.0021165
24 -0.447886 -0.442831 0.00203828
25 -0.43177 -0.442389 0.00200448
26 -0.446016 -0.442528 0.00193089
27 -0.442621 -0.442532 0.001858
28 -0.449607 -0.442784 0.00180816
29 -0.455957 -0.443239 0.00180286
30 -0.433858 -0.442926 0.00176957
31 -0.447062 -0.443059 0.00171673
32 -0.445277 -0.443129 0.00166366
33 -0.451394 -0.443379 0.0016318
34 -0.417978 -0.442632 0.00175051
35 -0.451195 -0.442877 0.00171728
36 -0.436149 -0.44269 0.00167932
37 -0.455482 -0.443035 0.0016695
38 -0.420664 -0.442447 0.00172833
39 -0.462115 -0.442951 0.00175735
40 -0.438206 -0.442832 0.00171696
41 -0.45447 -0.443116 0.00169844
42 -0.454834 -0.443395 0.00168082
43 -0.436612 -0.443238 0.00164883
44 -0.436067 -0.443075 0.00161914
45 -0.438819 -0.44298 0.00158558
46 -0.444665 -0.443017 0.00155116
47 -0.435784 -0.442863 0.00152557
48 -0.434883 -0.442697 0.00150268
49 -0.420594 -0.442245 0.00153927
50 -0.436473 -0.44213 0.00151258
51 -0.457128 -0.442424 0.00151151
52 -0.441657 -0.442409 0.00148223
53 -0.424446 -0.44207 0.00149297
54 -0.444704 -0.442119 0.00146588
55 -0.442893 -0.442133 0.00143905
56 -0.453532 -0.442337 0.0014277
57 -0.439842 -0.442293 0.00140311
58 -0.447389 -0.442381 0.00138151
59 -0.452823 -0.442558 0.00136937
60 -0.428996 -0.442332 0.0013652
61 -0.44416 -0.442362 0.00134297
62 -0.432307 -0.4422 0.00133105
63 -0.441391 -0.442187 0.00130981
64 -0.452107 -0.442342 0.00129847
65 -0.470322 -0.442772 0.00134886
66 -0.434477 -0.442647 0.0013342
67 -0.447304 -0.442716 0.00131598
68 -0.463278 -0.443018 0.00133127
69 -0.442657 -0.443013 0.00131185
70 -0.445355 -0.443047 0.0012934
71 -0.455243 -0.443218 0.00128658
72 -0.445312 -0.443248 0.00126891
73 -0.442156 -0.443233 0.0012515
74 -0.478165 -0.443705 0.00132165
75 -0.451418 -0.443807 0.00130796
76 -0.435582 -0.443699 0.00129516
77 -0.429303 -0.443512 0.00129183
78 -0.440983 -0.44348 0.00127558
79 -0.442466 -0.443467 0.00125939
80 -0.438845 -0.443409 0.00124489
81 -0.440958 -0.443379 0.0012298
82 -0.439247 -0.443329 0.00121575
83 -0.43835 -0.443269 0.00120251
84 -0.454086 -0.443397 0.00119507
85 -0.418981 -0.44311 0.00121536
86 -0.460062 -0.443307 0.00121721
87 -0.436438 -0.443228 0.00120573
88 -0.463112 -0.443454 0.00121317
89 -0.428864 -0.44329 0.00121062
90 -0.433675 -0.443183 0.00120185
91 -0.46009 -0.443369 0.001203
92 -0.464732 -0.443601 0.0012123
93 -0.451598 -0.443687 0.00120227
94 -0.451205 -0.443767 0.0011921
95 -0.450179 -0.443835 0.00118141
96 -0.443594 -0.443832 0.00116904
97 -0.440812 -0.443801 0.00115735
98 -0.440798 -0.443771 0.00114589
99 -0.444631 -0.443779 0.00113429
100 -0.451963 -0.443861 0.00112586
