100   100   100   173.205
99.1162   99.8608   100.002   172.617
99.1162   99.8608   100.002   172.617
99.1393   100.123   99.9377   172.745
99.1393   100.123   99.9377   172.745
99.4677   99.5841   98.9633   172.06
99.6949   100.472   98.541   172.464
99.2867   101.571   98.0752   172.607
100.207   101.686   97.596   172.934
100.207   101.686   97.596   172.934
99.393   101.547   98.5746   172.939
99.393   101.547   98.5746   172.939
99.393   101.547   98.5746   172.939
98.4364   101.582   99.181   172.759
97.7156   101.558   99.6392   172.599
97.7156   101.558   99.6392   172.599
97.255   100.656   100.006   172.022
96.6105   101.745   99.8643   172.217
96.6105   101.745   99.8643   172.217
95.8439   101.982   100.022   172.02
95.4504   102.604   99.6176   171.936
96.6198   101.445   98.9771   171.531
95.7863   102.134   99.8183   171.96
95.7863   102.134   99.8183   171.96
95.5677   102.408   99.554   171.848
96.5036   101.273   99.5099   171.672
96.3185   100.159   99.9508   171.171
95.6212   100.929   100.379   171.482
94.9632   101.61   100.159   171.39
93.7982   102.319   99.298   170.667
92.745   101.434   99.3172   169.571
92.8246   102.059   98.6203   169.583
92.8246   102.059   98.6203   169.583
92.8246   102.059   98.6203   169.583
91.9517   102.356   97.6188   168.704
92.5112   102.593   96.6528   168.598
92.5112   102.593   96.6528   168.598
92.0645   101.761   96.8546   167.964
90.8692   100.833   97.393   167.062
90.8692   100.833   97.393   167.062
90.8692   100.833   97.393   167.062
90.6834   100.578   97.3181   166.764
90.6719   100.836   96.3438   166.347
90.6719   100.836   96.3438   166.347
90.33   100.656   95.4894   165.558
90.4561   100.749   95.9904   165.972
89.5257   101.397   95.208   165.411
89.614   101.256   94.4933   164.962
89.8416   100.784   94.0584   164.547
89.3848   100.04   94.0694   163.85
88.8159   98.9627   95.2006   163.539
89.243   99.8375   94.2427   163.748
90.2511   99.2097   93.9261   163.737
90.1553   100.187   93.2002   163.865
89.445   99.439   94.3748   163.692
88.9223   99.8259   93.7875   163.305
90.012   98.9178   92.877   162.828
90.012   98.9178   92.877   162.828
90.6257   97.901   91.6892   161.878
90.7196   98.8464   92.6015   163.021
90.7196   98.8464   92.6015   163.021
90.7196   98.8464   92.6015   163.021
90.4806   98.8273   91.8594   162.455
90.6697   97.7165   90.7138   161.241
90.1242   97.4988   90.1444   160.482
89.3908   98.1814   90.8871   160.906
89.3908   98.1814   90.8871   160.906
88.5127   98.1682   91.0456   160.502
87.5942   98.1193   90.3188   159.554
87.4768   98.5527   90.0518   159.606
88.1918   97.8713   90.5362   159.854
88.0092   97.6513   89.9947   159.312
88.0092   97.6513   89.9947   159.312
88.0092   97.6513   89.9947   159.312
88.2799   97.3311   90.1468   159.352
88.2799   97.3311   90.1468   159.352
88.5853   96.6416   90.6356   159.379
88.8477   97.6068   89.5937   159.524
88.0078   96.5455   90.6789   159.025
88.4204   95.8727   89.5515   158.206
87.7503   94.7789   89.9312   157.387
86.8123   94.9196   90.3855   157.212
86.1116   95.7026   90.7827   157.53
86.2867   95.3045   91.4914   157.794
86.2867   95.3045   91.4914   157.794
86.1079   94.1523   92.159   157.393
86.2887   92.9872   91.1136   156.186
85.1689   93.9132   90.3283   155.668
85.9864   94.4346   89.878   156.172
85.5286   93.6252   89.26   155.075
85.9023   93.0988   89.7524   155.248
84.8157   92.676   89.7076   154.37
85.8353   92.9714   89.9348   155.241
