1.48188   0   
1.48447   0.00259345   
1.49271   0.0083733   
1.49871   0.00842708   
1.50149   0.0070963   
1.50029   0.00591813   
1.4969   0.00604142   
1.4971   0.0052359   
1.49852   0.00483143   
1.49683   0.00463917   
1.49792   0.00433433   
1.49807   0.00395949   
1.49782   0.00365057   
1.49763   0.003385   
1.49984   0.00384861   
1.49986   0.0036001   
1.49937   0.0034173   
1.49879   0.00327363   
1.4986   0.00310253   
1.4992   0.00300495   
1.50003   0.00297562   
1.50049   0.00287403   
1.50077   0.0027606   
1.50062   0.00264715   
1.50028   0.00256252   
1.50063   0.00248751   
1.50035   0.00241042   
1.50083   0.00237194   
1.50001   0.00243206   
1.4998   0.00235887   
1.49975   0.00228195   
1.49929   0.00225662   
1.49893   0.00221644   
1.49863   0.0021719   
1.49873   0.00211152   
1.49863   0.00205456   
1.49917   0.00206857   
1.49954   0.00204847   
1.4997   0.00200121   
1.49974   0.00195091   
1.49953   0.00191345   
1.49942   0.00187049   
1.49879   0.00193351   
1.49875   0.00188955   
1.4984   0.00187887   
1.49895   0.00191621   
1.49902   0.00187636   
1.49944   0.00188461   
1.49939   0.00184628   
1.49926   0.00181423   
1.49981   0.00186267   
1.5001   0.00184935   
1.50017   0.00181529   
1.50007   0.00178395   
1.49985   0.00176512   
1.49983   0.00173339   
1.49969   0.00170852   
1.50011   0.00173086   
1.49989   0.00171545   
1.49984   0.00168742   
1.49977   0.00166112   
1.49983   0.00163527   
1.49955   0.00163304   
1.49951   0.00160794   
1.49938   0.0015876   
1.49945   0.00156452   
1.49952   0.00154278   
1.49981   0.00154694   
1.49966   0.00153169   
1.50001   0.00155006   
1.50028   0.00155158   
1.50057   0.001558   
1.50067   0.00153944   
1.50088   0.00153308   
1.5008   0.00151464   
1.50089   0.0014976   
1.50072   0.00148773   
1.50077   0.00146937   
1.50082   0.00145155   
1.50101   0.00144465   
1.50112   0.00143149   
1.5011   0.00141404   
1.50101   0.00140012   
1.50071   0.00141589   
1.50072   0.00139924   
1.50045   0.00140909   
1.50022   0.00141213   
1.50015   0.00139757   
1.50005   0.00138601   
1.50021   0.00138028   
1.50045   0.00138623   
1.50065   0.00138581   
1.50043   0.00138855   
1.50066   0.00139257   
1.50054   0.00138339   
1.50031   0.00138691   
1.50037   0.00137369   
1.50033   0.00136021   
1.50016   0.00135725   
1.50014   0.00134371   
