5.01527   0   
5.02252   0.00724646   
5.00623   0.0168126   
4.99752   0.0147391   
5.0003   0.0117492   
5.0005   0.00959538   
5.01005   0.0125227   
5.0071   0.0112376   
5.00516   0.0100996   
4.99808   0.0114741   
4.99909   0.0104278   
4.99747   0.00965589   
4.99623   0.00896819   
4.99668   0.00831517   
4.99885   0.00803783   
4.99708   0.007724   
4.99518   0.00749978   
4.99588   0.007105   
4.99691   0.00679985   
4.99424   0.00698413   
4.99642   0.00699395   
4.99948   0.00733806   
4.99735   0.00732855   
4.99794   0.00704131   
4.99822   0.00675939   
4.99576   0.00694447   
4.99475   0.00675838   
4.99403   0.00655239   
4.99239   0.0065304   
4.99415   0.00654928   
4.99585   0.00655966   
4.99675   0.00641398   
4.99665   0.00621734   
4.99794   0.00616914   
4.99651   0.00616054   
4.99859   0.00633968   
4.99901   0.00618027   
4.99855   0.00603318   
4.99887   0.00588496   
4.99959   0.0057812   
4.99965   0.00563873   
5.00032   0.00554452   
5.0002   0.00541544   
4.99963   0.0053212   
5.00029   0.00524309   
5.00064   0.00513953   
4.99993   0.00507898   
4.99945   0.00499543   
4.99869   0.00495094   
4.99941   0.00490409   
4.99985   0.004827   
4.99965   0.0047374   
4.99945   0.00465137   
4.99964   0.00456834   
4.99896   0.00453517   
4.99897   0.00445346   
4.99952   0.00440912   
4.99966   0.00433472   
4.99972   0.00426096   
4.99923   0.00421764   
4.99835   0.00423998   
4.99728   0.00430668   
4.9975   0.00424368   
4.99784   0.00419057   
4.99807   0.00413185   
4.99804   0.00406884   
4.9982   0.00401072   
4.9976   0.00399665   
4.99781   0.00394402   
4.99737   0.00391265   
4.99768   0.00386945   
4.99766   0.00381535   
4.99752   0.00376543   
4.99782   0.00372649   
4.99865   0.00376861   
4.99902   0.00373685   
4.99959   0.00373257   
4.99968   0.00368541   
5.00036   0.00370178   
5.0003   0.0036557   
4.99992   0.00363053   
5.00042   0.00362023   
5.00059   0.00358068   
5.00075   0.00354107   
5.00109   0.00351572   
5.00076   0.00348996   
5.00101   0.00345838   
5.00135   0.00343635   
5.00192   0.00344494   
5.00211   0.00341147   
5.00176   0.00339128   
5.00169   0.0033549   
5.00144   0.00332845   
5.00114   0.00330669   
5.00032   0.00337181   
5.00038   0.00333702   
5.0006   0.00330995   
5.00029   0.00329059   
4.99977   0.00329959   
4.99969   0.00326741   
