"Station"              "Label"  								"Position (meters)"
"San Babila"           "c_0"                       				"0"
"Tricolore"            "c_1"                      				"1012"
"Dateo"                "c_2"                       				"1891"
"Susa"                 "c_3"                       				"2480"
"Argonne"              "c_4"                       				"3107"
"Stazione Forlanini"   "c_5"                       				"3617"
"Repetti"              "c_6"                       				"4047"
"Linate Aeroporto"     "c_7"                      				"7424"
